paper_id,claim,gold_code,gold_theme,claude_code,claude_correct,deepseek_code,deepseek_correct,openai_code,openai_correct
C951,CI IS RELATED TO AN INCREASE OF MERGE COMMITS,CI IS ASSOCIATED WITH A COMMIT PATTERN CHANGE,INTEGRATION PATTERNS,CI IS ASSOCIATED WITH A COMMIT PATTERN CHANGE,Y,CI IS ASSOCIATED WITH A COMMIT PATTERN CHANGE,Y,CI IS ASSOCIATED WITH A COMMIT PATTERN CHANGE,Y
C952,MORE PRS ARE BEING CLOSED AFTER ADOPTING CI,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,INTEGRATION PATTERNS,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,Y,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,Y,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,Y
C953,"CI IS RELATED TO AN INCREASING TREND IN THE NUMBER OF ISSUES CLOSED PER TIME PERIOD,",CI IS ASSOCIATED WITH ISSUES REDUCTION,ISSUES AND DEFECTS,CI IS ASSOCIATED WITH ISSUES REDUCTION,Y,CI IS ASSOCIATED WITH ISSUES REDUCTION,Y,CI IS ASSOCIATED WITH ISSUES REDUCTION,Y
C954,THE AMOUNT (AND POTENTIALLY THE QUALITY) OF AUTOMATED TESTS SEEMS TO INCREASE,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,QUALITY ASSURANCE,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,Y,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,Y,__INVALID__,N
C955,MAGNETISM AND STICKINESS VALUES TEND TO DROP AFTER TRAVIS CI HAS BEEN ADOPTED,CI IS ASSOCIATED WITH A DECREASE IN MAGNETISM AND RETENTION,DEVELOPMENT ACTIVITIES,CI IS ASSOCIATED WITH A DECREASE IN MAGNETISM AND RETENTION,Y,CI IS ASSOCIATED WITH A DECREASE IN MAGNETISM AND RETENTION,Y,CI IS ASSOCIATED WITH A DECREASE IN MAGNETISM AND RETENTION,Y
C956,THE CI ADOPTION LEADS TO A WORSENING IN THE PERCEIVED TEAM PRODUCTIVITY.,CI IS ASSOCIATED WITH A DECREASED PERCEPTION OF PRODUCTIVITY,DEVELOPMENT ACTIVITIES,CI IS ASSOCIATED WITH A DECREASED PERCEPTION OF PRODUCTIVITY,Y,CI IS ASSOCIATED WITH A DECREASED PERCEPTION OF PRODUCTIVITY,Y,CI IS ASSOCIATED WITH A DECREASED PERCEPTION OF PRODUCTIVITY,Y
C957,THE COGNITIVELY DIFFICULT TASK OF INCONSISTENCY PREDICTION IS ABANDONED,CI IS ASSOCIATED WITH A WORKLOAD REDUCTION,DEVELOPMENT ACTIVITIES,CI IS ASSOCIATED WITH HUMAN CHALLENGES,N,CI IS ASSOCIATED WITH HUMAN CHALLENGES,N,__INVALID__,N
C958,THE COMMUNICATION REQUIRED BY PROACTIVE INCONSISTENCY MITIGATION IS AVOIDED,CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,SOFTWARE PROCESS,CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,Y,CI IS ASSOCIATED WITH SOFTWARE DEVELOPMENT BENEFITS,N,CI IS ASSOCIATED WITH HUMAN CHALLENGES,N
C959,CI FORCES MORE TEST EFFORT,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,QUALITY ASSURANCE,CI IS ASSOCIATED WITH A WORKLOAD REDUCTION,N,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,Y,__INVALID__,N
C960,THE COGNITIVE TRACTABILITY OF THE PROGRAMMING TASK IS INCREASED BY THE SINGLE-PROGRAMMER ASSUMPTION.,CI IS ASSOCIATED WITH CONFIDENCE IMPROVEMENT,DEVELOPMENT ACTIVITIES,CI IS ASSOCIATED WITH HUMAN CHALLENGES,N,CI IS ASSOCIATED WITH CONFIDENCE IMPROVEMENT,Y,__INVALID__,N
C961,CI HELPS CATCH BUGS EARLIER,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,ISSUES AND DEFECTS,CI IS ASSOCIATED WITH DEFECTS REDUCTION,N,CI IS ASSOCIATED WITH DEFECTS REDUCTION,N,CI IS ASSOCIATED WITH DEFECTS REDUCTION,N
C962,CI -> LESS WORRY ABOUT BREAKING THE BUILD,CI IS ASSOCIATED WITH CONFIDENCE IMPROVEMENT,DEVELOPMENT ACTIVITIES,CI IS ASSOCIATED WITH CONFIDENCE IMPROVEMENT,Y,CI IS ASSOCIATED WITH CONFIDENCE IMPROVEMENT,Y,CI IS ASSOCIATED WITH CONFIDENCE IMPROVEMENT,Y
C964,CI HELPS PROJECTS DEPLOY MORE OFTEN,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,SOFTWARE PROCESS,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,Y,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,Y,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,Y
C965,CI ALLOWS FASTER ITERATIONS,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,SOFTWARE PROCESS,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,N,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,N,__INVALID__,N
C966,CI MAKES INTEGRATION EASIER.,CI IS ASSOCIATED WITH A POSITIVE IMPACT ON INTEGRATION PRACTICE,INTEGRATION PATTERNS,CI IS ASSOCIATED WITH A POSITIVE IMPACT ON INTEGRATION PRACTICE,Y,CI IS ASSOCIATED WITH A POSITIVE IMPACT ON INTEGRATION PRACTICE,Y,CI IS ASSOCIATED WITH A POSITIVE IMPACT ON INTEGRATION PRACTICE,Y
C967,CI ENFORCES A SPECIFIC WORKFLOW,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,SOFTWARE PROCESS,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS RELIABILITY,N,CI IS ASSOCIATED WITH TECHNICAL CHALLENGES,N,__INVALID__,N
C968,TEST ACROSS ALL PLATFORMS,CI IS ASSOCIATED TO MULTI-ENVIRONMENT TESTS,QUALITY ASSURANCE,CI IS ASSOCIATED TO MULTI-ENVIRONMENT TESTS,Y,CI IS ASSOCIATED TO MULTI-ENVIRONMENT TESTS,Y,CI IS ASSOCIATED TO MULTI-ENVIRONMENT TESTS,Y
C969,PROJECTS WITH CI GIVE MORE VALUE TO AUTOMATED TESTS,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,QUALITY ASSURANCE,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,Y,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,Y,__INVALID__,N
C970,PROJECTS WITH CI HAVE HIGHER QUALITY TESTS,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,QUALITY ASSURANCE,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,Y,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,Y,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,N
C971,PROJECTS THAT USE CI HAVE HIGHER CODE QUALITY,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,QUALITY ASSURANCE,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,Y,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,Y,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,Y
C972,PROJECTS WITH CI ARE MORE PRODUCTIVE,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,DEVELOPMENT ACTIVITIES,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,Y,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,Y,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,Y
C973,CONTINUOUS INTEGRATION IS NOT APPLIED DURING CRITICAL PERIODS FOR SOME DOMAIN (FINANCIAL AND E-COMMERCE),CI IS ASSOCIATED WITH ORGANIZATIONAL CHALLENGES,DEVELOPMENT ACTIVITIES,CI IS ASSOCIATED WITH ORGANIZATIONAL CHALLENGES,Y,CI IS ASSOCIATED WITH TECHNICAL CHALLENGES,N,__INVALID__,N
C974,CI HELPS TO CATCH BUGS EARLY,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,ISSUES AND DEFECTS,CI IS ASSOCIATED WITH DEFECTS REDUCTION,N,CI IS ASSOCIATED WITH DEFECTS REDUCTION,N,CI IS ASSOCIATED WITH DEFECTS REDUCTION,N
C975,MAKES THE TEAM LESS WORRIED ABOUT BREAKING THE BUILD,CI IS ASSOCIATED WITH CONFIDENCE IMPROVEMENT,DEVELOPMENT ACTIVITIES,CI IS ASSOCIATED WITH CONFIDENCE IMPROVEMENT,Y,CI IS ASSOCIATED WITH CONFIDENCE IMPROVEMENT,Y,CI IS ASSOCIATED WITH CONFIDENCE IMPROVEMENT,Y
C976,PROJECTS THAT USE CI RELEASE MORE THAN TWICE AS OFTEN AS THOSE THAT DO NOT USE CI.,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,SOFTWARE PROCESS,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,Y,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,Y,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,Y
C977,"CI BUILD STATUS CAN MAKE INTEGRATING PULL REQUESTS FASTER. WHEN USING CI, THE MEDIAN PULL REQUEST IS ACCEPTED 1.6 HOURS SOONER.",CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,INTEGRATION PATTERNS,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,Y,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,Y,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,Y
C978,"CI ALLOWS RUNNING THE TESTS IN THE CLOUD, FREEING UP PERSONAL MACHINES",CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,QUALITY ASSURANCE,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,N,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,N,CI IS ASSOCIATED WITH A WORKLOAD REDUCTION,N
C979,CI HELPS DEPLOY MORE OFTEN,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,SOFTWARE PROCESS,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,Y,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,Y,__INVALID__,N
C980,CI MAKES INTEGRATION EASIER,CI IS ASSOCIATED WITH A POSITIVE IMPACT ON INTEGRATION PRACTICE,INTEGRATION PATTERNS,CI IS ASSOCIATED WITH A POSITIVE IMPACT ON INTEGRATION PRACTICE,Y,CI IS ASSOCIATED WITH A POSITIVE IMPACT ON INTEGRATION PRACTICE,Y,CI IS ASSOCIATED WITH A POSITIVE IMPACT ON INTEGRATION PRACTICE,Y
C981,CI HELP TO TEST IN A REAL-WORLD ENVIRONMENT,CI IS ASSOCIATED TO MULTI-ENVIRONMENT TESTS,QUALITY ASSURANCE,CI IS ASSOCIATED TO MULTI-ENVIRONMENT TESTS,Y,CI IS ASSOCIATED TO MULTI-ENVIRONMENT TESTS,Y,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,N
C982,CI CAUSE LESS TIME DEBUGGING,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,DEVELOPMENT ACTIVITIES,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,N,CI IS ASSOCIATED WITH DEFECTS REDUCTION,N,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,N
C983,HELPS TO REJECT PROBLEMATIC PR,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,INTEGRATION PATTERNS,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,Y,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,Y,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,Y
C984,MORE QUICK PATCH AND RELEASING DELIVERIES,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,SOFTWARE PROCESS,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,Y,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,Y,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,Y
C985,DECREASES BUILD BREAKAGE,CI IS ASSOCIATED WITH BUILD HEALTH,BUILD PATTERNS,CI IS ASSOCIATED WITH BUILD HEALTH,Y,CI IS ASSOCIATED WITH BUILD HEALTH,Y,CI IS ASSOCIATED WITH DEFECTS REDUCTION,N
C986,SHORTEN THE BUILD TIME,CI IS ASSOCIATED WITH A DECREASING IN BUILD TIME,BUILD PATTERNS,CI IS ASSOCIATED WITH A DECREASING IN BUILD TIME,Y,CI IS ASSOCIATED WITH A DECREASING IN BUILD TIME,Y,CI IS ASSOCIATED WITH A DECREASING IN BUILD TIME,Y
C987,SHORTEN THE INTEGRATION TIME,CI IS ASSOCIATED WITH A POSITIVE IMPACT ON INTEGRATION PRACTICE,INTEGRATION PATTERNS,CI IS ASSOCIATED WITH A POSITIVE IMPACT ON INTEGRATION PRACTICE,Y,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,N,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,N
C988,INCREASES THE NUMBER OF AUTOMATED TESTS,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,QUALITY ASSURANCE,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,Y,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,Y,__INVALID__,N
C990,CI IS A DOMINANT FACTOR OF PULL REQUEST LATENCY.,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,INTEGRATION PATTERNS,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,Y,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,Y,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,Y
C992,CI  SPEED UP DEVELOPMENT PRACTICE,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,DEVELOPMENT ACTIVITIES,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,Y,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,Y,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,Y
C993,IMPROVE SOFTWARE QUALITY,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,QUALITY ASSURANCE,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,Y,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,Y,__INVALID__,N
C994,CI SUPPORTS THE TEAM TO CATCH PROBLEMS AS EARLY AS POSSIBLE.,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,ISSUES AND DEFECTS,CI IS ASSOCIATED WITH A FEED BACK FREQUENCY INCREASE,N,CI IS ASSOCIATED WITH DEFECTS REDUCTION,N,__INVALID__,N
C995,ENFORCE AUTOMATED SOFTWARE TESTING,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,QUALITY ASSURANCE,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,Y,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,Y,__INVALID__,N
C996,ENABLE  CROSS-PLATFORM TESTING,CI IS ASSOCIATED TO MULTI-ENVIRONMENT TESTS,QUALITY ASSURANCE,CI IS ASSOCIATED TO MULTI-ENVIRONMENT TESTS,Y,CI IS ASSOCIATED TO MULTI-ENVIRONMENT TESTS,Y,CI IS ASSOCIATED TO MULTI-ENVIRONMENT TESTS,Y
C998,IMPROVE COMMUNICATION,CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,SOFTWARE PROCESS,CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,Y,CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,Y,__INVALID__,N
C999,CI REDUCES MANUAL WORK,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,SOFTWARE PROCESS,CI IS ASSOCIATED WITH A WORKLOAD REDUCTION,N,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,N,CI IS ASSOCIATED WITH A WORKLOAD REDUCTION,N
