model_short,level,gt_code,pred_code,count,gt_theme,pred_theme,cross_theme
openai,L5,CI IS ASSOCIATED WITH ORGANIZATIONAL CHALLENGES,__INVALID__,10,SOFTWARE PROCESS,,True
openai,L5,CI IS ASSOCIATED WITH TO FAVOR CONTINUOUS REFACTORING,__INVALID__,10,QUALITY ASSURANCE,,True
openai,L3,CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,CI IS ASSOCIATED WITH HUMAN CHALLENGES,10,SOFTWARE PROCESS,DEVELOPMENT ACTIVITIES,True
openai,L1,CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,10,SOFTWARE PROCESS,SOFTWARE PROCESS,False
openai,L1,CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,CI IS ASSOCIATED WITH HUMAN CHALLENGES,10,SOFTWARE PROCESS,DEVELOPMENT ACTIVITIES,True
openai,L4,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,CI IS ASSOCIATED WITH ISSUES REDUCTION,10,ISSUES AND DEFECTS,ISSUES AND DEFECTS,False
openai,L4,CI IS ASSOCIATED WITH A FEED BACK FREQUENCY INCREASE,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,10,SOFTWARE PROCESS,SOFTWARE PROCESS,False
openai,L4,CI IS ASSOCIATED WITH A WORKLOAD REDUCTION,__INVALID__,10,DEVELOPMENT ACTIVITIES,,True
openai,L4,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,__INVALID__,10,DEVELOPMENT ACTIVITIES,,True
openai,L4,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,CI IS ASSOCIATED WITH A WORKLOAD REDUCTION,10,SOFTWARE PROCESS,DEVELOPMENT ACTIVITIES,True
openai,L4,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,__INVALID__,10,SOFTWARE PROCESS,,True
openai,L4,CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,10,SOFTWARE PROCESS,SOFTWARE PROCESS,False
openai,L1,CI IS ASSOCIATED WITH TECHNICAL CHALLENGES,__INVALID__,10,SOFTWARE PROCESS,,True
openai,L1,CI IS ASSOCIATED WITH TO FAVOR CONTINUOUS REFACTORING,__INVALID__,10,QUALITY ASSURANCE,,True
openai,L1,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,CI IS ASSOCIATED WITH DEFECTS REDUCTION,10,QUALITY ASSURANCE,ISSUES AND DEFECTS,True
openai,L1,CI IS RELATED TO NEGATIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,10,INTEGRATION PATTERNS,INTEGRATION PATTERNS,False
openai,L1,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,10,INTEGRATION PATTERNS,DEVELOPMENT ACTIVITIES,True
openai,L2,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,10,INTEGRATION PATTERNS,DEVELOPMENT ACTIVITIES,True
openai,L3,CI IS ASSOCIATED WITH CONFIDENCE IMPROVEMENT,__INVALID__,10,DEVELOPMENT ACTIVITIES,,True
openai,L2,CI IS ASSOCIATED WITH ORGANIZATIONAL CHALLENGES,__INVALID__,10,SOFTWARE PROCESS,,True
openai,L2,CI IS ASSOCIATED WITH CONFIDENCE IMPROVEMENT,__INVALID__,10,DEVELOPMENT ACTIVITIES,,True
openai,L2,CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,CI IS ASSOCIATED WITH HUMAN CHALLENGES,10,SOFTWARE PROCESS,DEVELOPMENT ACTIVITIES,True
openai,L3,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,CI IS ASSOCIATED WITH HUMAN CHALLENGES,10,DEVELOPMENT ACTIVITIES,DEVELOPMENT ACTIVITIES,False
openai,L3,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,10,DEVELOPMENT ACTIVITIES,ISSUES AND DEFECTS,True
openai,L3,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,10,QUALITY ASSURANCE,QUALITY ASSURANCE,False
openai,L3,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,CI IS ASSOCIATED WITH A WORKLOAD REDUCTION,10,QUALITY ASSURANCE,DEVELOPMENT ACTIVITIES,True
openai,L2,CI IS ASSOCIATED TO MULTI-ENVIRONMENT TESTS,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,10,QUALITY ASSURANCE,QUALITY ASSURANCE,False
openai,L2,CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,10,SOFTWARE PROCESS,SOFTWARE PROCESS,False
openai,L2,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,__INVALID__,10,SOFTWARE PROCESS,,True
openai,L2,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,CI IS ASSOCIATED WITH A WORKLOAD REDUCTION,10,SOFTWARE PROCESS,DEVELOPMENT ACTIVITIES,True
openai,L2,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,__INVALID__,10,DEVELOPMENT ACTIVITIES,,True
openai,L2,CI IS ASSOCIATED WITH A POSITIVE IMPACT ON INTEGRATION PRACTICE,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,10,INTEGRATION PATTERNS,ISSUES AND DEFECTS,True
openai,L2,CI IS ASSOCIATED WITH A FEED BACK FREQUENCY INCREASE,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,10,SOFTWARE PROCESS,SOFTWARE PROCESS,False
openai,L2,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,__INVALID__,10,ISSUES AND DEFECTS,,True
deepseek,L5,CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,10,SOFTWARE PROCESS,SOFTWARE PROCESS,False
openai,L3,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,10,INTEGRATION PATTERNS,DEVELOPMENT ACTIVITIES,True
claude,L5,CI IS ASSOCIATED WITH ISSUES REDUCTION,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,10,ISSUES AND DEFECTS,DEVELOPMENT ACTIVITIES,True
claude,L5,CI IS ASSOCIATED WITH DEFECTS REDUCTION,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,10,ISSUES AND DEFECTS,QUALITY ASSURANCE,True
claude,L3,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,CI IS ASSOCIATED WITH TECHNICAL CHALLENGES,10,DEVELOPMENT ACTIVITIES,SOFTWARE PROCESS,True
claude,L3,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,10,DEVELOPMENT ACTIVITIES,ISSUES AND DEFECTS,True
claude,L3,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,10,QUALITY ASSURANCE,SOFTWARE PROCESS,True
claude,L3,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,10,SOFTWARE PROCESS,DEVELOPMENT ACTIVITIES,True
claude,L3,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,10,INTEGRATION PATTERNS,SOFTWARE PROCESS,True
claude,L3,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,CI IS RELATED TO NEGATIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,10,INTEGRATION PATTERNS,INTEGRATION PATTERNS,False
deepseek,L3,CI IS ASSOCIATED WITH ORGANIZATIONAL CHALLENGES,CI IS ASSOCIATED WITH TECHNICAL CHALLENGES,10,SOFTWARE PROCESS,SOFTWARE PROCESS,False
claude,L3,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,CI IS ASSOCIATED WITH SOFTWARE DEVELOPMENT BENEFITS,10,QUALITY ASSURANCE,SOFTWARE PROCESS,True
claude,L3,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,10,QUALITY ASSURANCE,ISSUES AND DEFECTS,True
openai,L5,CI IS ASSOCIATED WITH A FEED BACK FREQUENCY INCREASE,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,10,SOFTWARE PROCESS,SOFTWARE PROCESS,False
openai,L5,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,CI IS ASSOCIATED WITH ISSUES REDUCTION,10,ISSUES AND DEFECTS,ISSUES AND DEFECTS,False
openai,L4,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,CI IS ASSOCIATED WITH HUMAN CHALLENGES,10,DEVELOPMENT ACTIVITIES,DEVELOPMENT ACTIVITIES,False
openai,L4,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,10,DEVELOPMENT ACTIVITIES,ISSUES AND DEFECTS,True
claude,L2,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,CI IS ASSOCIATED WITH A WORKLOAD REDUCTION,10,SOFTWARE PROCESS,DEVELOPMENT ACTIVITIES,True
claude,L3,CI IS ASSOCIATED WITH CONFIDENCE IMPROVEMENT,CI IS ASSOCIATED WITH HUMAN CHALLENGES,10,DEVELOPMENT ACTIVITIES,DEVELOPMENT ACTIVITIES,False
claude,L3,CI IS ASSOCIATED WITH BUILD HEALTH,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,10,BUILD PATTERNS,SOFTWARE PROCESS,True
claude,L3,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,CI IS ASSOCIATED WITH A COMMIT PATTERN CHANGE,10,INTEGRATION PATTERNS,INTEGRATION PATTERNS,False
claude,L5,CI IS ASSOCIATED WITH A WORKLOAD REDUCTION,CI IS ASSOCIATED WITH HUMAN CHALLENGES,10,DEVELOPMENT ACTIVITIES,DEVELOPMENT ACTIVITIES,False
claude,L5,CI IS ASSOCIATED WITH A POSITIVE IMPACT ON INTEGRATION PRACTICE,CI IS ASSOCIATED WITH A DECREASING IN BUILD TIME,10,INTEGRATION PATTERNS,BUILD PATTERNS,True
claude,L4,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,CI IS ASSOCIATED WITH TECHNICAL CHALLENGES,10,DEVELOPMENT ACTIVITIES,SOFTWARE PROCESS,True
claude,L4,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,10,DEVELOPMENT ACTIVITIES,ISSUES AND DEFECTS,True
claude,L4,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,10,QUALITY ASSURANCE,SOFTWARE PROCESS,True
deepseek,L1,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,CI IS ASSOCIATED WITH TECHNICAL CHALLENGES,10,SOFTWARE PROCESS,SOFTWARE PROCESS,False
deepseek,L1,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,CI IS ASSOCIATED WITH TECHNICAL CHALLENGES,10,DEVELOPMENT ACTIVITIES,SOFTWARE PROCESS,True
deepseek,L1,CI IS ASSOCIATED WITH A WORKLOAD REDUCTION,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,10,DEVELOPMENT ACTIVITIES,DEVELOPMENT ACTIVITIES,False
claude,L5,CI IS ASSOCIATED WITH TO FAVOR CONTINUOUS REFACTORING,__INVALID__,10,QUALITY ASSURANCE,,True
openai,L4,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,10,QUALITY ASSURANCE,QUALITY ASSURANCE,False
openai,L4,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,CI IS ASSOCIATED WITH HUMAN CHALLENGES,10,QUALITY ASSURANCE,DEVELOPMENT ACTIVITIES,True
claude,L4,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,10,INTEGRATION PATTERNS,SOFTWARE PROCESS,True
claude,L4,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,CI IS RELATED TO NEGATIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,10,INTEGRATION PATTERNS,INTEGRATION PATTERNS,False
claude,L4,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,CI IS ASSOCIATED WITH A COMMIT PATTERN CHANGE,10,INTEGRATION PATTERNS,INTEGRATION PATTERNS,False
claude,L4,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,10,QUALITY ASSURANCE,ISSUES AND DEFECTS,True
claude,L4,CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,10,SOFTWARE PROCESS,SOFTWARE PROCESS,False
claude,L4,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS RELIABILITY,CI IS ASSOCIATED WITH A FEED BACK FREQUENCY INCREASE,10,SOFTWARE PROCESS,SOFTWARE PROCESS,False
claude,L4,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS RELIABILITY,10,SOFTWARE PROCESS,SOFTWARE PROCESS,False
deepseek,L1,CI IS ASSOCIATED WITH A WORKLOAD REDUCTION,CI IS ASSOCIATED WITH HUMAN CHALLENGES,10,DEVELOPMENT ACTIVITIES,DEVELOPMENT ACTIVITIES,False
claude,L2,CI IS ASSOCIATED WITH CONFIDENCE IMPROVEMENT,__INVALID__,10,DEVELOPMENT ACTIVITIES,,True
claude,L2,CI IS ASSOCIATED WITH BUILD HEALTH,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,10,BUILD PATTERNS,SOFTWARE PROCESS,True
claude,L2,CI IS ASSOCIATED WITH BUILD HEALTH,CI IS ASSOCIATED WITH A COMMIT PATTERN CHANGE,10,BUILD PATTERNS,INTEGRATION PATTERNS,True
claude,L2,CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,10,SOFTWARE PROCESS,SOFTWARE PROCESS,False
claude,L2,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS RELIABILITY,CI IS ASSOCIATED WITH A FEED BACK FREQUENCY INCREASE,10,SOFTWARE PROCESS,SOFTWARE PROCESS,False
claude,L2,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS RELIABILITY,10,SOFTWARE PROCESS,SOFTWARE PROCESS,False
claude,L1,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,10,ISSUES AND DEFECTS,QUALITY ASSURANCE,True
claude,L1,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,CI IS ASSOCIATED WITH A WORKLOAD REDUCTION,10,SOFTWARE PROCESS,DEVELOPMENT ACTIVITIES,True
claude,L3,CI IS ASSOCIATED WITH BUILD HEALTH,CI IS ASSOCIATED WITH A POSITIVE IMPACT ON INTEGRATION PRACTICE,10,BUILD PATTERNS,INTEGRATION PATTERNS,True
claude,L1,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS RELIABILITY,CI IS ASSOCIATED WITH A FEED BACK FREQUENCY INCREASE,10,SOFTWARE PROCESS,SOFTWARE PROCESS,False
claude,L1,CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,10,SOFTWARE PROCESS,SOFTWARE PROCESS,False
openai,L5,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,10,DEVELOPMENT ACTIVITIES,ISSUES AND DEFECTS,True
claude,L1,CI IS ASSOCIATED WITH BUILD HEALTH,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,10,BUILD PATTERNS,SOFTWARE PROCESS,True
openai,L5,CI IS ASSOCIATED WITH CONFIDENCE IMPROVEMENT,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,10,DEVELOPMENT ACTIVITIES,DEVELOPMENT ACTIVITIES,False
openai,L5,CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,CI IS ASSOCIATED WITH ORGANIZATIONAL CHALLENGES,10,SOFTWARE PROCESS,SOFTWARE PROCESS,False
openai,L5,CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,10,SOFTWARE PROCESS,SOFTWARE PROCESS,False
openai,L5,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,__INVALID__,10,SOFTWARE PROCESS,,True
claude,L1,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,10,QUALITY ASSURANCE,ISSUES AND DEFECTS,True
claude,L1,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS RELIABILITY,10,SOFTWARE PROCESS,SOFTWARE PROCESS,False
claude,L3,CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,10,SOFTWARE PROCESS,SOFTWARE PROCESS,False
claude,L3,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS RELIABILITY,10,SOFTWARE PROCESS,SOFTWARE PROCESS,False
claude,L3,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,CI IS ASSOCIATED WITH A WORKLOAD REDUCTION,10,SOFTWARE PROCESS,DEVELOPMENT ACTIVITIES,True
claude,L3,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,10,ISSUES AND DEFECTS,QUALITY ASSURANCE,True
claude,L3,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,CI IS ASSOCIATED WITH A DECREASING IN BUILD TIME,10,ISSUES AND DEFECTS,BUILD PATTERNS,True
claude,L2,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,CI IS ASSOCIATED WITH TECHNICAL CHALLENGES,10,DEVELOPMENT ACTIVITIES,SOFTWARE PROCESS,True
claude,L4,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,CI IS ASSOCIATED WITH A WORKLOAD REDUCTION,10,SOFTWARE PROCESS,DEVELOPMENT ACTIVITIES,True
claude,L4,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,CI IS ASSOCIATED WITH TECHNICAL CHALLENGES,10,DEVELOPMENT ACTIVITIES,SOFTWARE PROCESS,True
claude,L4,CI IS ASSOCIATED WITH A WORKLOAD REDUCTION,CI IS ASSOCIATED WITH HUMAN CHALLENGES,10,DEVELOPMENT ACTIVITIES,DEVELOPMENT ACTIVITIES,False
claude,L2,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,10,QUALITY ASSURANCE,ISSUES AND DEFECTS,True
openai,L5,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,__INVALID__,10,DEVELOPMENT ACTIVITIES,,True
openai,L5,CI IS ASSOCIATED WITH A WORKLOAD REDUCTION,__INVALID__,10,DEVELOPMENT ACTIVITIES,,True
claude,L2,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,10,DEVELOPMENT ACTIVITIES,ISSUES AND DEFECTS,True
claude,L2,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,10,QUALITY ASSURANCE,SOFTWARE PROCESS,True
claude,L2,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,10,SOFTWARE PROCESS,DEVELOPMENT ACTIVITIES,True
claude,L2,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,10,INTEGRATION PATTERNS,SOFTWARE PROCESS,True
claude,L2,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,CI IS RELATED TO NEGATIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,10,INTEGRATION PATTERNS,INTEGRATION PATTERNS,False
claude,L2,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,CI IS ASSOCIATED WITH A COMMIT PATTERN CHANGE,10,INTEGRATION PATTERNS,INTEGRATION PATTERNS,False
claude,L2,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,CI IS ASSOCIATED WITH SOFTWARE DEVELOPMENT BENEFITS,10,QUALITY ASSURANCE,SOFTWARE PROCESS,True
claude,L4,CI IS ASSOCIATED WITH A POSITIVE IMPACT ON INTEGRATION PRACTICE,CI IS ASSOCIATED WITH A DECREASING IN BUILD TIME,10,INTEGRATION PATTERNS,BUILD PATTERNS,True
deepseek,L3,CI IS ASSOCIATED WITH A WORKLOAD REDUCTION,CI IS ASSOCIATED WITH HUMAN CHALLENGES,10,DEVELOPMENT ACTIVITIES,DEVELOPMENT ACTIVITIES,False
deepseek,L3,CI IS ASSOCIATED WITH A POSITIVE IMPACT ON INTEGRATION PRACTICE,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,10,INTEGRATION PATTERNS,SOFTWARE PROCESS,True
deepseek,L3,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,CI IS ASSOCIATED WITH ISSUES REDUCTION,10,ISSUES AND DEFECTS,ISSUES AND DEFECTS,False
deepseek,L2,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,CI IS ASSOCIATED WITH TECHNICAL CHALLENGES,10,DEVELOPMENT ACTIVITIES,SOFTWARE PROCESS,True
deepseek,L2,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,CI IS ASSOCIATED WITH DEFECTS REDUCTION,10,DEVELOPMENT ACTIVITIES,ISSUES AND DEFECTS,True
deepseek,L2,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,10,SOFTWARE PROCESS,DEVELOPMENT ACTIVITIES,True
deepseek,L4,CI IS ASSOCIATED WITH A WORKLOAD REDUCTION,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,10,DEVELOPMENT ACTIVITIES,DEVELOPMENT ACTIVITIES,False
deepseek,L4,CI IS ASSOCIATED WITH A WORKLOAD REDUCTION,CI IS ASSOCIATED WITH HUMAN CHALLENGES,10,DEVELOPMENT ACTIVITIES,DEVELOPMENT ACTIVITIES,False
claude,L5,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,CI IS ASSOCIATED WITH A WORKLOAD REDUCTION,10,SOFTWARE PROCESS,DEVELOPMENT ACTIVITIES,True
deepseek,L4,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,CI IS ASSOCIATED WITH ISSUES REDUCTION,10,ISSUES AND DEFECTS,ISSUES AND DEFECTS,False
deepseek,L2,CI IS ASSOCIATED WITH CONFIDENCE IMPROVEMENT,CI IS ASSOCIATED WITH SOFTWARE DEVELOPMENT BENEFITS,10,DEVELOPMENT ACTIVITIES,SOFTWARE PROCESS,True
deepseek,L2,CI IS ASSOCIATED WITH BUILD HEALTH,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,10,BUILD PATTERNS,SOFTWARE PROCESS,True
deepseek,L2,CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,10,SOFTWARE PROCESS,INTEGRATION PATTERNS,True
deepseek,L2,CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,CI IS ASSOCIATED WITH SOFTWARE DEVELOPMENT BENEFITS,10,SOFTWARE PROCESS,SOFTWARE PROCESS,False
deepseek,L2,CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,10,SOFTWARE PROCESS,SOFTWARE PROCESS,False
deepseek,L2,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,10,SOFTWARE PROCESS,DEVELOPMENT ACTIVITIES,True
deepseek,L2,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,CI IS ASSOCIATED WITH TECHNICAL CHALLENGES,10,SOFTWARE PROCESS,SOFTWARE PROCESS,False
deepseek,L2,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,CI IS ASSOCIATED WITH TECHNICAL CHALLENGES,10,DEVELOPMENT ACTIVITIES,SOFTWARE PROCESS,True
deepseek,L4,CI IS ASSOCIATED WITH A POSITIVE IMPACT ON INTEGRATION PRACTICE,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,10,INTEGRATION PATTERNS,SOFTWARE PROCESS,True
deepseek,L5,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,10,SOFTWARE PROCESS,DEVELOPMENT ACTIVITIES,True
deepseek,L5,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,CI IS ASSOCIATED WITH SOFTWARE DEVELOPMENT BENEFITS,10,SOFTWARE PROCESS,SOFTWARE PROCESS,False
