kappa_type,task,level,run_id,model_a,model_b,kappa,n,interpretation,kappa_sd,n_pairs
inter_model,theme,L1,10,deepseek,openai,0.821,113.0,Almost Perfect,,
inter_model,code,L2,1,claude,deepseek,0.7959,113.0,Substantial,,
inter_model,theme,L2,1,claude,deepseek,0.8877,113.0,Almost Perfect,,
inter_model,code,L2,1,claude,openai,0.6144,113.0,Substantial,,
inter_model,theme,L2,1,claude,openai,0.7725,113.0,Substantial,,
inter_model,code,L2,1,deepseek,openai,0.6053,113.0,Substantial,,
inter_model,theme,L2,1,deepseek,openai,0.7941,113.0,Substantial,,
inter_model,code,L2,2,claude,deepseek,0.8053,113.0,Almost Perfect,,
inter_model,theme,L2,2,claude,deepseek,0.899,113.0,Almost Perfect,,
inter_model,code,L2,2,claude,openai,0.6412,113.0,Substantial,,
inter_model,theme,L2,2,claude,openai,0.7736,113.0,Substantial,,
inter_model,code,L2,2,deepseek,openai,0.6138,113.0,Substantial,,
inter_model,theme,L2,2,deepseek,openai,0.7836,113.0,Substantial,,
inter_model,code,L2,3,claude,deepseek,0.8053,113.0,Almost Perfect,,
inter_model,theme,L2,3,claude,deepseek,0.899,113.0,Almost Perfect,,
inter_model,code,L2,3,claude,openai,0.6325,113.0,Substantial,,
inter_model,theme,L2,3,claude,openai,0.7508,113.0,Substantial,,
inter_model,code,L2,3,deepseek,openai,0.6142,113.0,Substantial,,
inter_model,theme,L2,3,deepseek,openai,0.7835,113.0,Substantial,,
inter_model,code,L2,4,claude,deepseek,0.8053,113.0,Almost Perfect,,
inter_model,theme,L2,4,claude,deepseek,0.899,113.0,Almost Perfect,,
inter_model,code,L2,4,claude,openai,0.6231,113.0,Substantial,,
inter_model,theme,L2,4,claude,openai,0.7853,113.0,Substantial,,
inter_model,code,L2,4,deepseek,openai,0.6052,113.0,Substantial,,
inter_model,theme,L2,4,deepseek,openai,0.7954,113.0,Substantial,,
inter_model,code,L2,5,claude,deepseek,0.8053,113.0,Almost Perfect,,
inter_model,theme,L2,5,claude,deepseek,0.899,113.0,Almost Perfect,,
inter_model,code,L2,5,claude,openai,0.6233,113.0,Substantial,,
inter_model,theme,L2,5,claude,openai,0.7622,113.0,Substantial,,
inter_model,code,L2,5,deepseek,openai,0.5961,113.0,Moderate,,
inter_model,theme,L2,5,deepseek,openai,0.7721,113.0,Substantial,,
inter_model,code,L2,6,claude,deepseek,0.8053,113.0,Almost Perfect,,
inter_model,theme,L2,6,claude,deepseek,0.899,113.0,Almost Perfect,,
inter_model,code,L2,6,claude,openai,0.651,113.0,Substantial,,
inter_model,theme,L2,6,claude,openai,0.762,113.0,Substantial,,
inter_model,code,L2,6,deepseek,openai,0.6326,113.0,Substantial,,
inter_model,theme,L2,6,deepseek,openai,0.7947,113.0,Substantial,,
inter_model,code,L2,7,claude,deepseek,0.8053,113.0,Almost Perfect,,
inter_model,theme,L2,7,claude,deepseek,0.899,113.0,Almost Perfect,,
inter_model,code,L2,7,claude,openai,0.6691,113.0,Substantial,,
inter_model,theme,L2,7,claude,openai,0.7851,113.0,Substantial,,
inter_model,code,L2,7,deepseek,openai,0.6419,113.0,Substantial,,
inter_model,theme,L2,7,deepseek,openai,0.7952,113.0,Substantial,,
inter_model,code,L2,8,claude,deepseek,0.8053,113.0,Almost Perfect,,
inter_model,theme,L2,8,claude,deepseek,0.899,113.0,Almost Perfect,,
inter_model,code,L2,8,claude,openai,0.6323,113.0,Substantial,,
inter_model,theme,L2,8,claude,openai,0.7625,113.0,Substantial,,
inter_model,code,L2,8,deepseek,openai,0.6051,113.0,Substantial,,
inter_model,theme,L2,8,deepseek,openai,0.7725,113.0,Substantial,,
inter_model,code,L2,9,claude,deepseek,0.7961,113.0,Substantial,,
inter_model,theme,L2,9,claude,deepseek,0.899,113.0,Almost Perfect,,
inter_model,code,L2,9,claude,openai,0.6598,113.0,Substantial,,
inter_model,theme,L2,9,claude,openai,0.7735,113.0,Substantial,,
inter_model,code,L2,9,deepseek,openai,0.6323,113.0,Substantial,,
inter_model,theme,L2,9,deepseek,openai,0.7834,113.0,Substantial,,
inter_model,code,L2,10,claude,deepseek,0.7961,113.0,Substantial,,
inter_model,theme,L2,10,claude,deepseek,0.899,113.0,Almost Perfect,,
inter_model,code,L2,10,claude,openai,0.6236,113.0,Substantial,,
inter_model,theme,L2,10,claude,openai,0.7621,113.0,Substantial,,
inter_model,code,L2,10,deepseek,openai,0.5963,113.0,Moderate,,
inter_model,theme,L2,10,deepseek,openai,0.772,113.0,Substantial,,
inter_model,code,L3,1,claude,deepseek,0.7775,113.0,Substantial,,
inter_model,theme,L3,1,claude,deepseek,0.8878,113.0,Almost Perfect,,
inter_model,code,L3,1,claude,openai,0.5517,113.0,Moderate,,
inter_model,theme,L3,1,claude,openai,0.6767,113.0,Substantial,,
inter_model,code,L3,1,deepseek,openai,0.5516,113.0,Moderate,,
inter_model,theme,L3,1,deepseek,openai,0.7026,113.0,Substantial,,
inter_model,code,L3,2,claude,deepseek,0.7959,113.0,Substantial,,
inter_model,theme,L3,2,claude,deepseek,0.8992,113.0,Almost Perfect,,
inter_model,code,L3,2,claude,openai,0.5791,113.0,Moderate,,
inter_model,theme,L3,2,claude,openai,0.715,113.0,Substantial,,
inter_model,code,L3,2,deepseek,openai,0.5871,113.0,Moderate,,
inter_model,theme,L3,2,deepseek,openai,0.739,113.0,Substantial,,
inter_model,code,L3,3,claude,deepseek,0.7867,113.0,Substantial,,
inter_model,theme,L3,3,claude,deepseek,0.8992,113.0,Almost Perfect,,
inter_model,code,L3,3,claude,openai,0.5796,113.0,Moderate,,
inter_model,theme,L3,3,claude,openai,0.6795,113.0,Substantial,,
inter_model,code,L3,3,deepseek,openai,0.5781,113.0,Moderate,,
inter_model,theme,L3,3,deepseek,openai,0.7153,113.0,Substantial,,
inter_model,code,L3,4,claude,deepseek,0.7959,113.0,Substantial,,
inter_model,theme,L3,4,claude,deepseek,0.8878,113.0,Almost Perfect,,
inter_model,code,L3,4,claude,openai,0.5968,113.0,Moderate,,
inter_model,theme,L3,4,claude,openai,0.748,113.0,Substantial,,
inter_model,code,L3,4,deepseek,openai,0.5951,113.0,Moderate,,
inter_model,theme,L3,4,deepseek,openai,0.7612,113.0,Substantial,,
inter_model,code,L3,5,claude,deepseek,0.7867,113.0,Substantial,,
inter_model,theme,L3,5,claude,deepseek,0.8992,113.0,Almost Perfect,,
inter_model,code,L3,5,claude,openai,0.5975,113.0,Moderate,,
inter_model,theme,L3,5,claude,openai,0.6919,113.0,Substantial,,
inter_model,code,L3,5,deepseek,openai,0.6054,113.0,Substantial,,
inter_model,theme,L3,5,deepseek,openai,0.7502,113.0,Substantial,,
inter_model,code,L3,6,claude,deepseek,0.7867,113.0,Substantial,,
inter_model,theme,L3,6,claude,deepseek,0.8992,113.0,Almost Perfect,,
inter_model,code,L3,6,claude,openai,0.5971,113.0,Moderate,,
inter_model,theme,L3,6,claude,openai,0.7263,113.0,Substantial,,
inter_model,code,L3,6,deepseek,openai,0.596,113.0,Moderate,,
inter_model,theme,L3,6,deepseek,openai,0.773,113.0,Substantial,,
inter_model,code,L3,7,claude,deepseek,0.7867,113.0,Substantial,,
inter_model,theme,L3,7,claude,deepseek,0.9104,113.0,Almost Perfect,,
inter_model,code,L3,7,claude,openai,0.5702,113.0,Moderate,,
inter_model,theme,L3,7,claude,openai,0.7265,113.0,Substantial,,
inter_model,code,L3,7,deepseek,openai,0.5689,113.0,Moderate,,
inter_model,theme,L3,7,deepseek,openai,0.7502,113.0,Substantial,,
inter_model,code,L3,8,claude,deepseek,0.7774,113.0,Substantial,,
inter_model,theme,L3,8,claude,deepseek,0.8878,113.0,Almost Perfect,,
inter_model,code,L3,8,claude,openai,0.624,113.0,Substantial,,
inter_model,theme,L3,8,claude,openai,0.7125,113.0,Substantial,,
inter_model,code,L3,8,deepseek,openai,0.5959,113.0,Moderate,,
inter_model,theme,L3,8,deepseek,openai,0.7377,113.0,Substantial,,
inter_model,code,L3,9,claude,deepseek,0.7774,113.0,Substantial,,
inter_model,theme,L3,9,claude,deepseek,0.8878,113.0,Almost Perfect,,
inter_model,code,L3,9,claude,openai,0.5885,113.0,Moderate,,
inter_model,theme,L3,9,claude,openai,0.6907,113.0,Substantial,,
inter_model,code,L3,9,deepseek,openai,0.5688,113.0,Moderate,,
inter_model,theme,L3,9,deepseek,openai,0.7158,113.0,Substantial,,
inter_model,code,L3,10,claude,deepseek,0.7959,113.0,Substantial,,
inter_model,theme,L3,10,claude,deepseek,0.8878,113.0,Almost Perfect,,
inter_model,code,L3,10,claude,openai,0.5789,113.0,Moderate,,
inter_model,theme,L3,10,claude,openai,0.6909,113.0,Substantial,,
inter_model,code,L3,10,deepseek,openai,0.5866,113.0,Moderate,,
inter_model,theme,L3,10,deepseek,openai,0.7387,113.0,Substantial,,
inter_model,code,L4,1,claude,deepseek,0.7682,113.0,Substantial,,
inter_model,theme,L4,1,claude,deepseek,0.8883,113.0,Almost Perfect,,
inter_model,code,L4,1,claude,openai,0.5697,113.0,Moderate,,
inter_model,theme,L4,1,claude,openai,0.7153,113.0,Substantial,,
inter_model,code,L4,1,deepseek,openai,0.5508,113.0,Moderate,,
inter_model,theme,L4,1,deepseek,openai,0.7158,113.0,Substantial,,
inter_model,code,L4,2,claude,deepseek,0.7773,113.0,Substantial,,
inter_model,theme,L4,2,claude,deepseek,0.8996,113.0,Almost Perfect,,
inter_model,code,L4,2,claude,openai,0.5966,113.0,Moderate,,
inter_model,theme,L4,2,claude,openai,0.7169,113.0,Substantial,,
inter_model,code,L4,2,deepseek,openai,0.5684,113.0,Moderate,,
inter_model,theme,L4,2,deepseek,openai,0.7055,113.0,Substantial,,
inter_model,code,L4,3,claude,deepseek,0.796,113.0,Substantial,,
inter_model,theme,L4,3,claude,deepseek,0.9218,113.0,Almost Perfect,,
inter_model,code,L4,3,claude,openai,0.5882,113.0,Moderate,,
inter_model,theme,L4,3,claude,openai,0.7499,113.0,Substantial,,
inter_model,code,L4,3,deepseek,openai,0.5598,113.0,Moderate,,
inter_model,theme,L4,3,deepseek,openai,0.7275,113.0,Substantial,,
inter_model,code,L4,4,claude,deepseek,0.7865,113.0,Substantial,,
inter_model,theme,L4,4,claude,deepseek,0.8996,113.0,Almost Perfect,,
inter_model,code,L4,4,claude,openai,0.5878,113.0,Moderate,,
inter_model,theme,L4,4,claude,openai,0.7275,113.0,Substantial,,
inter_model,code,L4,4,deepseek,openai,0.5779,113.0,Moderate,,
inter_model,theme,L4,4,deepseek,openai,0.7841,113.0,Substantial,,
inter_model,code,L4,5,claude,deepseek,0.7865,113.0,Substantial,,
inter_model,theme,L4,5,claude,deepseek,0.8992,113.0,Almost Perfect,,
inter_model,code,L4,5,claude,openai,0.5875,113.0,Moderate,,
inter_model,theme,L4,5,claude,openai,0.7488,113.0,Substantial,,
inter_model,code,L4,5,deepseek,openai,0.5686,113.0,Moderate,,
inter_model,theme,L4,5,deepseek,openai,0.75,113.0,Substantial,,
inter_model,code,L4,6,claude,deepseek,0.7866,113.0,Substantial,,
inter_model,theme,L4,6,claude,deepseek,0.9218,113.0,Almost Perfect,,
inter_model,code,L4,6,claude,openai,0.5874,113.0,Moderate,,
inter_model,theme,L4,6,claude,openai,0.7271,113.0,Substantial,,
inter_model,code,L4,6,deepseek,openai,0.5593,113.0,Moderate,,
inter_model,theme,L4,6,deepseek,openai,0.7273,113.0,Substantial,,
inter_model,code,L4,7,claude,deepseek,0.7866,113.0,Substantial,,
inter_model,theme,L4,7,claude,deepseek,0.9218,113.0,Almost Perfect,,
inter_model,code,L4,7,claude,openai,0.5968,113.0,Moderate,,
inter_model,theme,L4,7,claude,openai,0.7392,113.0,Substantial,,
inter_model,code,L4,7,deepseek,openai,0.5777,113.0,Moderate,,
inter_model,theme,L4,7,deepseek,openai,0.762,113.0,Substantial,,
inter_model,code,L4,8,claude,deepseek,0.7774,113.0,Substantial,,
inter_model,theme,L4,8,claude,deepseek,0.9218,113.0,Almost Perfect,,
inter_model,code,L4,8,claude,openai,0.587,113.0,Moderate,,
inter_model,theme,L4,8,claude,openai,0.7383,113.0,Substantial,,
inter_model,code,L4,8,deepseek,openai,0.5779,113.0,Moderate,,
inter_model,theme,L4,8,deepseek,openai,0.7611,113.0,Substantial,,
inter_model,code,L4,9,claude,deepseek,0.7958,113.0,Substantial,,
inter_model,theme,L4,9,claude,deepseek,0.9218,113.0,Almost Perfect,,
inter_model,code,L4,9,claude,openai,0.5963,113.0,Moderate,,
inter_model,theme,L4,9,claude,openai,0.7624,113.0,Substantial,,
inter_model,code,L4,9,deepseek,openai,0.5773,113.0,Moderate,,
inter_model,theme,L4,9,deepseek,openai,0.7625,113.0,Substantial,,
inter_model,code,L4,10,claude,deepseek,0.7957,113.0,Substantial,,
inter_model,theme,L4,10,claude,deepseek,0.9218,113.0,Almost Perfect,,
inter_model,code,L4,10,claude,openai,0.6051,113.0,Substantial,,
inter_model,theme,L4,10,claude,openai,0.7281,113.0,Substantial,,
inter_model,code,L4,10,deepseek,openai,0.5862,113.0,Moderate,,
inter_model,theme,L4,10,deepseek,openai,0.7509,113.0,Substantial,,
inter_model,code,L5,1,claude,deepseek,0.7408,113.0,Substantial,,
inter_model,theme,L5,1,claude,deepseek,0.8776,113.0,Almost Perfect,,
inter_model,code,L5,1,claude,openai,0.5689,113.0,Moderate,,
inter_model,theme,L5,1,claude,openai,0.7174,113.0,Substantial,,
inter_model,code,L5,1,deepseek,openai,0.5689,113.0,Moderate,,
inter_model,theme,L5,1,deepseek,openai,0.7733,113.0,Substantial,,
inter_model,code,L5,2,claude,deepseek,0.7592,113.0,Substantial,,
inter_model,theme,L5,2,claude,deepseek,0.8887,113.0,Almost Perfect,,
inter_model,code,L5,2,claude,openai,0.5777,113.0,Moderate,,
inter_model,theme,L5,2,claude,openai,0.7408,113.0,Substantial,,
inter_model,code,L5,2,deepseek,openai,0.5775,113.0,Moderate,,
inter_model,theme,L5,2,deepseek,openai,0.7742,113.0,Substantial,,
inter_model,code,L5,3,claude,deepseek,0.75,113.0,Substantial,,
inter_model,theme,L5,3,claude,deepseek,0.8776,113.0,Almost Perfect,,
inter_model,code,L5,3,claude,openai,0.5688,113.0,Moderate,,
inter_model,theme,L5,3,claude,openai,0.683,113.0,Substantial,,
inter_model,code,L5,3,deepseek,openai,0.5689,113.0,Moderate,,
inter_model,theme,L5,3,deepseek,openai,0.7391,113.0,Substantial,,
inter_model,code,L5,4,claude,deepseek,0.7592,113.0,Substantial,,
inter_model,theme,L5,4,claude,deepseek,0.8887,113.0,Almost Perfect,,
inter_model,code,L5,4,claude,openai,0.5961,113.0,Moderate,,
inter_model,theme,L5,4,claude,openai,0.7296,113.0,Substantial,,
inter_model,code,L5,4,deepseek,openai,0.5957,113.0,Moderate,,
inter_model,theme,L5,4,deepseek,openai,0.7631,113.0,Substantial,,
inter_model,code,L5,5,claude,deepseek,0.7592,113.0,Substantial,,
inter_model,theme,L5,5,claude,deepseek,0.8887,113.0,Almost Perfect,,
inter_model,code,L5,5,claude,openai,0.5597,113.0,Moderate,,
inter_model,theme,L5,5,claude,openai,0.7399,113.0,Substantial,,
inter_model,code,L5,5,deepseek,openai,0.5687,113.0,Moderate,,
inter_model,theme,L5,5,deepseek,openai,0.7847,113.0,Substantial,,
inter_model,code,L5,6,claude,deepseek,0.75,113.0,Substantial,,
inter_model,theme,L5,6,claude,deepseek,0.8776,113.0,Almost Perfect,,
inter_model,code,L5,6,claude,openai,0.5684,113.0,Moderate,,
inter_model,theme,L5,6,claude,openai,0.7403,113.0,Substantial,,
inter_model,code,L5,6,deepseek,openai,0.5866,113.0,Moderate,,
inter_model,theme,L5,6,deepseek,openai,0.7964,113.0,Substantial,,
inter_model,code,L5,7,claude,deepseek,0.7592,113.0,Substantial,,
inter_model,theme,L5,7,claude,deepseek,0.8887,113.0,Almost Perfect,,
inter_model,code,L5,7,claude,openai,0.5691,113.0,Moderate,,
inter_model,theme,L5,7,claude,openai,0.7404,113.0,Substantial,,
inter_model,code,L5,7,deepseek,openai,0.5689,113.0,Moderate,,
inter_model,theme,L5,7,deepseek,openai,0.7626,113.0,Substantial,,
inter_model,code,L5,8,claude,deepseek,0.7592,113.0,Substantial,,
inter_model,theme,L5,8,claude,deepseek,0.8887,113.0,Almost Perfect,,
inter_model,code,L5,8,claude,openai,0.5958,113.0,Moderate,,
inter_model,theme,L5,8,claude,openai,0.7519,113.0,Substantial,,
inter_model,code,L5,8,deepseek,openai,0.5862,113.0,Moderate,,
inter_model,theme,L5,8,deepseek,openai,0.7628,113.0,Substantial,,
inter_model,code,L5,9,claude,deepseek,0.75,113.0,Substantial,,
inter_model,theme,L5,9,claude,deepseek,0.8776,113.0,Almost Perfect,,
inter_model,code,L5,9,claude,openai,0.614,113.0,Substantial,,
inter_model,theme,L5,9,claude,openai,0.729,113.0,Substantial,,
inter_model,code,L5,9,deepseek,openai,0.6141,113.0,Substantial,,
inter_model,theme,L5,9,deepseek,openai,0.7851,113.0,Substantial,,
inter_model,code,L5,10,claude,deepseek,0.75,113.0,Substantial,,
inter_model,theme,L5,10,claude,deepseek,0.8776,113.0,Almost Perfect,,
inter_model,code,L5,10,claude,openai,0.5685,113.0,Moderate,,
inter_model,theme,L5,10,claude,openai,0.7284,113.0,Substantial,,
inter_model,code,L5,10,deepseek,openai,0.5777,113.0,Moderate,,
inter_model,theme,L5,10,deepseek,openai,0.7847,113.0,Substantial,,
intra_model_stability,code,L1,1_vs_2,claude,claude_run2,0.9907,113.0,Almost Perfect,,
intra_model_stability,code,L1,1_vs_3,claude,claude_run3,0.9722,113.0,Almost Perfect,,
intra_model_stability,code,L1,1_vs_4,claude,claude_run4,1.0,113.0,Almost Perfect,,
intra_model_stability,code,L1,1_vs_5,claude,claude_run5,0.9907,113.0,Almost Perfect,,
intra_model_stability,code,L1,1_vs_6,claude,claude_run6,1.0,113.0,Almost Perfect,,
intra_model_stability,code,L1,1_vs_7,claude,claude_run7,0.9907,113.0,Almost Perfect,,
intra_model_stability,code,L1,1_vs_8,claude,claude_run8,1.0,113.0,Almost Perfect,,
intra_model_stability,code,L1,1_vs_9,claude,claude_run9,1.0,113.0,Almost Perfect,,
intra_model_stability,code,L1,1_vs_10,claude,claude_run10,0.9907,113.0,Almost Perfect,,
intra_model_stability,code,L1,2_vs_3,claude,claude_run3,0.9815,113.0,Almost Perfect,,
intra_model_stability,code,L1,2_vs_4,claude,claude_run4,0.9907,113.0,Almost Perfect,,
intra_model_stability,code,L1,2_vs_5,claude,claude_run5,1.0,113.0,Almost Perfect,,
intra_model_stability,code,L1,2_vs_6,claude,claude_run6,0.9907,113.0,Almost Perfect,,
intra_model_stability,code,L1,2_vs_7,claude,claude_run7,1.0,113.0,Almost Perfect,,
intra_model_stability,code,L1,2_vs_8,claude,claude_run8,0.9907,113.0,Almost Perfect,,
intra_model_stability,code,L1,2_vs_9,claude,claude_run9,0.9907,113.0,Almost Perfect,,
intra_model_stability,code,L1,2_vs_10,claude,claude_run10,0.9815,113.0,Almost Perfect,,
intra_model_stability,code,L1,3_vs_4,claude,claude_run4,0.9722,113.0,Almost Perfect,,
intra_model_stability,code,L1,3_vs_5,claude,claude_run5,0.9815,113.0,Almost Perfect,,
intra_model_stability,code,L1,3_vs_6,claude,claude_run6,0.9722,113.0,Almost Perfect,,
intra_model_stability,code,L1,3_vs_7,claude,claude_run7,0.9815,113.0,Almost Perfect,,
intra_model_stability,code,L1,3_vs_8,claude,claude_run8,0.9722,113.0,Almost Perfect,,
intra_model_stability,code,L1,3_vs_9,claude,claude_run9,0.9722,113.0,Almost Perfect,,
intra_model_stability,code,L1,3_vs_10,claude,claude_run10,0.9815,113.0,Almost Perfect,,
intra_model_stability,code,L1,4_vs_5,claude,claude_run5,0.9907,113.0,Almost Perfect,,
intra_model_stability,code,L1,4_vs_6,claude,claude_run6,1.0,113.0,Almost Perfect,,
intra_model_stability,code,L1,4_vs_7,claude,claude_run7,0.9907,113.0,Almost Perfect,,
intra_model_stability,code,L1,4_vs_8,claude,claude_run8,1.0,113.0,Almost Perfect,,
intra_model_stability,code,L1,4_vs_9,claude,claude_run9,1.0,113.0,Almost Perfect,,
intra_model_stability,code,L1,4_vs_10,claude,claude_run10,0.9907,113.0,Almost Perfect,,
intra_model_stability,code,L1,5_vs_6,claude,claude_run6,0.9907,113.0,Almost Perfect,,
intra_model_stability,code,L1,5_vs_7,claude,claude_run7,1.0,113.0,Almost Perfect,,
intra_model_stability,code,L1,5_vs_8,claude,claude_run8,0.9907,113.0,Almost Perfect,,
intra_model_stability,code,L1,5_vs_9,claude,claude_run9,0.9907,113.0,Almost Perfect,,
intra_model_stability,code,L1,5_vs_10,claude,claude_run10,0.9815,113.0,Almost Perfect,,
intra_model_stability,code,L1,6_vs_7,claude,claude_run7,0.9907,113.0,Almost Perfect,,
intra_model_stability,code,L1,6_vs_8,claude,claude_run8,1.0,113.0,Almost Perfect,,
intra_model_stability,code,L1,6_vs_9,claude,claude_run9,1.0,113.0,Almost Perfect,,
intra_model_stability,code,L1,6_vs_10,claude,claude_run10,0.9907,113.0,Almost Perfect,,
intra_model_stability,code,L1,7_vs_8,claude,claude_run8,0.9907,113.0,Almost Perfect,,
intra_model_stability,code,L1,7_vs_9,claude,claude_run9,0.9907,113.0,Almost Perfect,,
intra_model_stability,code,L1,7_vs_10,claude,claude_run10,0.9815,113.0,Almost Perfect,,
intra_model_stability,code,L1,8_vs_9,claude,claude_run9,1.0,113.0,Almost Perfect,,
intra_model_stability,code,L1,8_vs_10,claude,claude_run10,0.9907,113.0,Almost Perfect,,
intra_model_stability,code,L1,9_vs_10,claude,claude_run10,0.9907,113.0,Almost Perfect,,
intra_model_stability_mean,code,L1,mean_of_45_pairs,claude,claude_all_pairs,0.9899,,Almost Perfect,0.0087,45.0
intra_model_stability,theme,L1,1_vs_2,claude,claude_run2,0.9888,113.0,Almost Perfect,,
intra_model_stability,theme,L1,1_vs_3,claude,claude_run3,0.9776,113.0,Almost Perfect,,
intra_model_stability,theme,L1,1_vs_4,claude,claude_run4,1.0,113.0,Almost Perfect,,
intra_model_stability,theme,L1,1_vs_5,claude,claude_run5,0.9888,113.0,Almost Perfect,,
intra_model_stability,theme,L1,1_vs_6,claude,claude_run6,1.0,113.0,Almost Perfect,,
intra_model_stability,theme,L1,1_vs_7,claude,claude_run7,0.9888,113.0,Almost Perfect,,
intra_model_stability,theme,L1,1_vs_8,claude,claude_run8,1.0,113.0,Almost Perfect,,
intra_model_stability,theme,L1,1_vs_9,claude,claude_run9,1.0,113.0,Almost Perfect,,
intra_model_stability,theme,L1,1_vs_10,claude,claude_run10,0.9888,113.0,Almost Perfect,,
intra_model_stability,theme,L1,2_vs_3,claude,claude_run3,0.9888,113.0,Almost Perfect,,
intra_model_stability,theme,L1,2_vs_4,claude,claude_run4,0.9888,113.0,Almost Perfect,,
intra_model_stability,theme,L1,2_vs_5,claude,claude_run5,1.0,113.0,Almost Perfect,,
intra_model_stability,theme,L1,2_vs_6,claude,claude_run6,0.9888,113.0,Almost Perfect,,
intra_model_stability,theme,L1,2_vs_7,claude,claude_run7,1.0,113.0,Almost Perfect,,
intra_model_stability,theme,L1,2_vs_8,claude,claude_run8,0.9888,113.0,Almost Perfect,,
intra_model_stability,theme,L1,2_vs_9,claude,claude_run9,0.9888,113.0,Almost Perfect,,
intra_model_stability,theme,L1,2_vs_10,claude,claude_run10,0.9776,113.0,Almost Perfect,,
intra_model_stability,theme,L1,3_vs_4,claude,claude_run4,0.9776,113.0,Almost Perfect,,
intra_model_stability,theme,L1,3_vs_5,claude,claude_run5,0.9888,113.0,Almost Perfect,,
intra_model_stability,theme,L1,3_vs_6,claude,claude_run6,0.9776,113.0,Almost Perfect,,
intra_model_stability,theme,L1,3_vs_7,claude,claude_run7,0.9888,113.0,Almost Perfect,,
intra_model_stability,theme,L1,3_vs_8,claude,claude_run8,0.9776,113.0,Almost Perfect,,
intra_model_stability,theme,L1,3_vs_9,claude,claude_run9,0.9776,113.0,Almost Perfect,,
intra_model_stability,theme,L1,3_vs_10,claude,claude_run10,0.9888,113.0,Almost Perfect,,
intra_model_stability,theme,L1,4_vs_5,claude,claude_run5,0.9888,113.0,Almost Perfect,,
intra_model_stability,theme,L1,4_vs_6,claude,claude_run6,1.0,113.0,Almost Perfect,,
intra_model_stability,theme,L1,4_vs_7,claude,claude_run7,0.9888,113.0,Almost Perfect,,
intra_model_stability,theme,L1,4_vs_8,claude,claude_run8,1.0,113.0,Almost Perfect,,
intra_model_stability,theme,L1,4_vs_9,claude,claude_run9,1.0,113.0,Almost Perfect,,
intra_model_stability,theme,L1,4_vs_10,claude,claude_run10,0.9888,113.0,Almost Perfect,,
intra_model_stability,theme,L1,5_vs_6,claude,claude_run6,0.9888,113.0,Almost Perfect,,
intra_model_stability,theme,L1,5_vs_7,claude,claude_run7,1.0,113.0,Almost Perfect,,
intra_model_stability,theme,L1,5_vs_8,claude,claude_run8,0.9888,113.0,Almost Perfect,,
intra_model_stability,theme,L1,5_vs_9,claude,claude_run9,0.9888,113.0,Almost Perfect,,
intra_model_stability,theme,L1,5_vs_10,claude,claude_run10,0.9776,113.0,Almost Perfect,,
intra_model_stability,theme,L1,6_vs_7,claude,claude_run7,0.9888,113.0,Almost Perfect,,
intra_model_stability,theme,L1,6_vs_8,claude,claude_run8,1.0,113.0,Almost Perfect,,
intra_model_stability,theme,L1,6_vs_9,claude,claude_run9,1.0,113.0,Almost Perfect,,
intra_model_stability,theme,L1,6_vs_10,claude,claude_run10,0.9888,113.0,Almost Perfect,,
intra_model_stability,theme,L1,7_vs_8,claude,claude_run8,0.9888,113.0,Almost Perfect,,
intra_model_stability,theme,L1,7_vs_9,claude,claude_run9,0.9888,113.0,Almost Perfect,,
intra_model_stability,theme,L1,7_vs_10,claude,claude_run10,0.9776,113.0,Almost Perfect,,
intra_model_stability,theme,L1,8_vs_9,claude,claude_run9,1.0,113.0,Almost Perfect,,
intra_model_stability,theme,L1,8_vs_10,claude,claude_run10,0.9888,113.0,Almost Perfect,,
intra_model_stability,theme,L1,9_vs_10,claude,claude_run10,0.9888,113.0,Almost Perfect,,
intra_model_stability_mean,theme,L1,mean_of_45_pairs,claude,claude_all_pairs,0.9901,,Almost Perfect,0.0075,45.0
intra_model_stability,code,L2,1_vs_2,claude,claude_run2,0.9907,113.0,Almost Perfect,,
intra_model_stability,code,L2,1_vs_3,claude,claude_run3,0.9907,113.0,Almost Perfect,,
intra_model_stability,code,L2,1_vs_4,claude,claude_run4,0.9907,113.0,Almost Perfect,,
intra_model_stability,code,L2,1_vs_5,claude,claude_run5,0.9907,113.0,Almost Perfect,,
intra_model_stability,code,L2,1_vs_6,claude,claude_run6,0.9907,113.0,Almost Perfect,,
intra_model_stability,code,L2,1_vs_7,claude,claude_run7,0.9907,113.0,Almost Perfect,,
intra_model_stability,code,L2,1_vs_8,claude,claude_run8,0.9907,113.0,Almost Perfect,,
intra_model_stability,code,L2,1_vs_9,claude,claude_run9,0.9815,113.0,Almost Perfect,,
intra_model_stability,code,L2,1_vs_10,claude,claude_run10,0.9815,113.0,Almost Perfect,,
intra_model_stability,code,L2,2_vs_3,claude,claude_run3,1.0,113.0,Almost Perfect,,
intra_model_stability,code,L2,2_vs_4,claude,claude_run4,1.0,113.0,Almost Perfect,,
intra_model_stability,code,L2,2_vs_5,claude,claude_run5,1.0,113.0,Almost Perfect,,
intra_model_stability,code,L2,2_vs_6,claude,claude_run6,1.0,113.0,Almost Perfect,,
intra_model_stability,code,L2,2_vs_7,claude,claude_run7,1.0,113.0,Almost Perfect,,
intra_model_stability,code,L2,2_vs_8,claude,claude_run8,1.0,113.0,Almost Perfect,,
